contractName,network,chainId,address,deployedAt
Diamond,unknown,1337,0xCfEB869F69431e42cdB54A4F4f105C19C080A601,1677733540
MarketplaceFacet,unknown,1337,0x9561C133DD8580860B6b7E504bC5Aa500f0f06a7,1677733540
OffersFacet,unknown,1337,0xe982E462b094850F12AF94d21D470e21bE9D0E9C,1677733540
WMATIC,unknown,1337,0xe78A0F7E598Cc8b0Bb87894B0F60dD2a88d6a8Ab,1677733540
NusaNFT,unknown,1337,0x9b1f7F645351AF3631a656421eD2e40f2802E6c0,1677733540
Diamond,unknown,1337,0xCfEB869F69431e42cdB54A4F4f105C19C080A601,1677743899
MarketplaceFacet,unknown,1337,0x9561C133DD8580860B6b7E504bC5Aa500f0f06a7,1677743899
OffersFacet,unknown,1337,0xe982E462b094850F12AF94d21D470e21bE9D0E9C,1677743899
WMATIC,unknown,1337,0xe78A0F7E598Cc8b0Bb87894B0F60dD2a88d6a8Ab,1677743899
NusaNFT,unknown,1337,0x9b1f7F645351AF3631a656421eD2e40f2802E6c0,1677743900
Diamond,unknown,1337,0xCfEB869F69431e42cdB54A4F4f105C19C080A601,1677743950
MarketplaceFacet,unknown,1337,0x9561C133DD8580860B6b7E504bC5Aa500f0f06a7,1677743950
OffersFacet,unknown,1337,0xe982E462b094850F12AF94d21D470e21bE9D0E9C,1677743950
WMATIC,unknown,1337,0xe78A0F7E598Cc8b0Bb87894B0F60dD2a88d6a8Ab,1677743950
NusaNFT,unknown,1337,0x9b1f7F645351AF3631a656421eD2e40f2802E6c0,1677743950
Diamond,unknown,1337,0xCfEB869F69431e42cdB54A4F4f105C19C080A601,1677744127
MarketplaceFacet,unknown,1337,0x9561C133DD8580860B6b7E504bC5Aa500f0f06a7,1677744127
OffersFacet,unknown,1337,0xe982E462b094850F12AF94d21D470e21bE9D0E9C,1677744127
WMATIC,unknown,1337,0xe78A0F7E598Cc8b0Bb87894B0F60dD2a88d6a8Ab,1677744127
NusaNFT,unknown,1337,0x9b1f7F645351AF3631a656421eD2e40f2802E6c0,1677744127
